raw_x_east,raw_y_north,x_east,y_north
661386.775,1509678.703,661387.9601,1509680.102
661386.5244,1509678.406,661387.6898,1509679.784
661386.2738,1509678.11,661387.4249,1509679.47
661386.0053,1509677.795,661387.1617,1509679.161
661385.7547,1509677.498,661386.9021,1509678.855
661385.5042,1509677.183,661386.6462,1509678.551
661385.2537,1509676.868,661386.392,1509678.247
661385.0032,1509676.553,661386.1396,1509677.941
661384.7526,1509676.238,661385.8872,1509677.636
661384.5023,1509675.905,661385.6349,1509677.326
661384.2518,1509675.59,661385.3826,1509677.015
661384.0195,1509675.238,661385.1321,1509676.698
661383.7871,1509674.905,661384.8834,1509676.377
